feedback_id	reviewer_source	reviewer_type	section	comment	suggested_action	evidence_path	severity_hint	journal_route_hint
SG-P0-001	supergrok	model	code availability	Public GitHub repository, GitHub Release, and Zenodo DOI are absent; repository_url, github_remote, and zenodo_doi are pending.	Complete public GitHub repository, push the exact release commit and tag, create a GitHub Release, archive with Zenodo, record DOI, and rerun all release/submission gates.	results/release/release_readiness.tsv	fatal	Nature Methods no-go; Genome Biology blocked until release
SG-P0-002	supergrok	model	real-data stability	Stability advantage fails on real data: RMTGuard is below the strongest baseline on PBMC3k, Baron pancreas, and Kang IFN-beta PBMC, while PBMC68k is a diagnostic no-call.	Do not claim stability superiority; rerun manuscript-grade stability with stronger baselines, confidence intervals, and no-call decision reporting before any Nature Methods route upgrade.	results/stability_benchmarks/stability_gate_diagnostics.tsv	fatal	Nature Methods no-go
SG-P0-003	supergrok	model	claim scope	The package is so caveated that the manuscript currently lacks a clear positive real-data advance beyond diagnostic boundaries.	Reframe the manuscript as a callability-aware diagnostic workflow, identify the strongest direct evidence, and remove any residual broad superiority language.	results/manuscript/claim_evidence_matrix.tsv	fatal	Nature Methods no-go; Genome Biology after reframe
SG-P0-004	supergrok	model	method novelty	Method novelty is insufficient for Nature Methods because MP/TW, permutation PCA, and stability heuristics are existing components; the diagnostic no-call contract is useful but incremental.	Hold Nature Methods presubmission unless new evidence or a sharper no-call primitive demonstrates a broader method advance; otherwise route to Genome Biology or Bioinformatics.	docs/method_risk_log.md	fatal	Nature Methods high desk-reject risk
SG-P1-001	supergrok	model	benchmark breadth	Current four-dataset Phase 1 benchmark is too narrow for a reproducibility/stability claim.	Add at least three to six additional public datasets, including Tabula Sapiens subsets, one perturbation or time-course dataset, and one atlas-scale stress dataset.	metadata/datasets.tsv	major	Genome Biology strengthening required
SG-P1-002	supergrok	model	baseline comparisons	Current Scanpy-like, fixed-PC, and elbow baselines are insufficient for a methods manuscript.	Add full Seurat v5, JackStraw-like, permutation/parallel-analysis PCA, and tuned Scanpy/Seurat resolution-grid comparisons under matched preprocessing.	benchmarks	major	Nature Methods and Genome Biology strengthening required
SG-P1-003	supergrok	model	statistical calibration	Pure Gaussian null is too optimistic; realistic scRNA-seq null calibration and paired statistical testing are missing.	Add realistic count-preserving nulls, dropout/library-size preserving permutations, paired tests across datasets, multiple-testing correction, and rare-state power grids.	docs/statistical_analysis_plan.md	major	Nature Methods and Genome Biology strengthening required
SG-P1-004	supergrok	model	stability benchmark	Current stability benchmark repeats and cell ranges are not manuscript-grade.	Rerun stability with at least 10 repeats, larger/full cell ranges where feasible, bootstrap confidence intervals, paired tests, and cluster-number variance.	results/stability_benchmarks/stability_gate_diagnostics.tsv	major	Nature Methods and Genome Biology strengthening required
SG-P1-005	supergrok	model	PDAC/TME showcase	PDAC/TME showcase is marker-smoke level and not strong enough as a main biological application.	Either deepen PDAC/TME with DE, pathway enrichment, trajectory or published-atlas validation, or demote it to supplement and use a stronger public application.	docs/pdac_tme_showcase_depth.md	major	Genome Biology or Cell Genomics strengthening required
SG-P1-006	supergrok	model	ablation	Component ablations do not quantify marginal contributions of MP edge, TW proxy, permutation calibration, HVG plateau, stability guard, and batch residualization.	Run full ablation across false-signal control, rare-state retention, real-data stability, annotation recovery, runtime, and no-call rate.	results/manuscript/reviewer_objection_matrix.tsv	major	Nature Methods and Genome Biology strengthening required
SG-P1-007	supergrok	model	no-call reporting	The no-call contract is potentially valuable but needs a user-facing decision tree or heatmap.	Implement and expose a quantitative no-call reason table, decision tree, and Figure 3 callability map with thresholds and comparator context.	docs/no_call_benchmark.md	major	Genome Biology strengthening required
SG-P1-008	supergrok	model	figures	Figure 1-5 are not final journal-grade and Figure 3 currently highlights failures without enough callability context.	Redraw figures as vector PDF plus 300 dpi TIFF with source-data tables, statistical annotations, colorblind-safe palettes, and explicit no-call glyphs.	figures/manuscript/rendered_figure_manifest.tsv	major	All journal routes
SG-P1-009	supergrok	model	ethics reporting	Human public metadata still needs an ethics/privacy statement and official Nature Portfolio reporting summary needs author verification.	Add public-data ethics/privacy wording and complete the official reporting-summary form with author-verified answers before any submission.	docs/nature_reporting_summary_draft.md	major	All journal routes
SG-P1-010	supergrok	model	journal route	Nature Methods presubmission is not worth sending in the current state; Genome Biology is the realistic route after public release and reframe.	Update route gates to pause Nature Methods, treat Genome Biology as conditional after release, and keep Bioinformatics/NAR Genomics and Bioinformatics as safe fallback.	results/submission/post_feedback_journal_route_gate.tsv	major	Genome Biology conditional route
SG-CLAIM-001	supergrok	model	claim audit	The phrase reduces subjective parameter choices is weak because RMTGuard replaces one set of heuristics with another configurable framework.	Downgrade wording to callability-aware noise-control diagnostics and explicitly list remaining parameters such as tw_alpha, n_permutations, and stability_repeats.	manuscript/abstract_draft.md	major	Claim-boundary revision
