component_family	ablation_id	variant_label	scenario	n_rows	n_repeats	mean_signal_pcs	mean_embedding_pcs	mean_cluster_n	mean_runtime_seconds	mean_batch_ari	mean_batch_nmi	false_signal_rate_ci95_low	false_signal_rate_ci95_high	false_call_rate_ci95_low	false_call_rate_ci95_high	mean_ari_ci95_low	mean_ari_ci95_high	mean_rare_f1_ci95_low	mean_rare_f1_ci95_high	power_ci95_low	power_ci95_high	mean_batch_ari_ci95_low	mean_batch_ari_ci95_high	mean_runtime_seconds_ci95_low	mean_runtime_seconds_ci95_high	false_signal_rate	false_call_rate	no_call_rate	mean_ari	mean_rare_f1	power
adaptive_embedding	embedding_strict_signal	strict signal embedding	batch_effect	20	20	4.0	4.0	4.0	2.142664894999325	0.00470221330639192	0.019771455868763645					0.8886974410071875	0.9254192638124239					-0.00016942327254760355	0.009573849885331442	2.0356836939914196	2.249646096007231			0.0	0.9070583524098057		
adaptive_embedding	embedding_strict_signal	strict signal embedding	rare_state_power	40	20	1.975	1.95	3.55	1.7937370600007854							0.08429433870338832	0.10252925950931019	0.9216978358147612	1.0	0.9259999999999999	1.0			1.6911217333617883	1.8963523866397825			0.025	0.09341179910634925	0.9698369565217391	0.975
adaptive_embedding	embedding_strict_signal	strict signal embedding	realistic_null	60	20	0.6666666666666666	0.0	1.0	0.13652610666758844			0.0	0.0	0.0	0.0									0.12424557062838336	0.1488066427067935	0.0	0.0	1.0			
batch_residualization	batch_residualized	batch residualized fit	batch_effect	20	20	3.0	5.4	4.0	2.408768205001979	0.00013445032342248513	0.010579475990050656					0.8146017792889734	0.8855346584062648					-0.0029945913634856066	0.0032634920103305765	2.2395169720785555	2.578019437925403			0.0	0.8500682188476191		
biwhitening	whiten_zscore	z-score whitening	batch_effect	20	20	8.55	9.05	5.65	2.870468500000425	0.06549994940922475	0.08181829470970371					0.566894500189998	0.7903484994182951					-0.016828873742286227	0.14782877256073573	2.7154959771483203	3.0254410228525295			0.0	0.6786214998041465		
biwhitening	whiten_zscore	z-score whitening	rare_state_power	40	20	1.95	3.225	3.4	2.0945527799976844							0.07860452129787372	0.10033010871513935	0.8790593957284925	1.0	0.8815977208356929	1.0			1.9231485772788328	2.265956982716536			0.05	0.08946731500650654	0.9453557312252965	0.95
biwhitening	whiten_zscore	z-score whitening	realistic_null	60	20	0.95	0.7	1.4833333333333334	0.5419939650006805			0.11154326146996153	0.32179007186337183	0.11154326146996153	0.32179007186337183									0.31124658457695353	0.7727413454244075	0.21666666666666667	0.21666666666666667	0.7833333333333333			
hvg_selection	hvg_rule_dispersion	dispersion HVG	batch_effect	20	20	4.0	6.95	3.95	2.568412185001216	0.044665743201663895	0.05246627678508019					0.6885813264548155	0.8614047092099772					-0.0368159035774047	0.1261473899807325	2.439480108872022	2.69734426113041			0.0	0.7749930178323964		
hvg_selection	hvg_rule_spectral_plateau	spectral plateau HVG	batch_effect	20	20	4.0	5.45	3.45	2.501184750000539	0.016138226899337246	0.021481324123289906					0.7344648359670518	0.8993238463465623					-0.00022950933842270232	0.032505963137097194	2.388417218016594	2.6139522819844836			0.0	0.816894341156807		
hvg_selection	hvg_rule_dispersion	dispersion HVG	rare_state_power	40	20	1.975	3.125	3.525	2.0910941974962043							0.08101019847147484	0.10002529165279492	0.913466315500531	1.0	0.9259999999999999	1.0			1.9596518829183243	2.2225365120740843			0.025	0.09051774506213488	0.9630187747035575	0.975
hvg_selection	hvg_rule_spectral_plateau	spectral plateau HVG	rare_state_power	40	20	1.975	3.1	3.55	2.1170599950004543							0.08505907115912559	0.1038145296256735	0.9216978358147612	1.0	0.9259999999999999	1.0			1.9839578759159988	2.2501621140849095			0.025	0.09443680039239954	0.9698369565217391	0.975
hvg_selection	hvg_rule_dispersion	dispersion HVG	realistic_null	60	20	0.6666666666666666	0.0	1.0	0.13503073166551377			0.0	0.0	0.0	0.0									0.12464068581485165	0.1454207775161759	0.0	0.0	1.0			
hvg_selection	hvg_rule_spectral_plateau	spectral plateau HVG	realistic_null	60	20	0.6666666666666666	0.0	1.0	0.14449553833377038			0.0	0.0	0.0	0.0									0.1356521893737794	0.15333888729376136	0.0	0.0	1.0			
no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	batch_effect	20	20	4.0	10.0	3.9	2.9101085450012762	0.09794696232036987	0.1072477806408394					0.6005993467235284	0.8352649548409534					-0.025591569602483516	0.22148549424322325	2.803781521902852	3.0164355680997006			0.0	0.7179321507822409		
no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	rare_state_power	40	20	1.975	10.0	3.225	2.94398032999743							0.00897596693525408	0.02895520215531472	0.25645482932070757	0.4995076959181129	0.13486096647276066	0.41513903352723935			2.854983672706299	3.0329769872885612			0.0	0.018965584545284398	0.37798126261941023	0.275
no_call_contract	force_min_embedding_pcs_10	force minimum 10 embedding PCs	realistic_null	60	20	0.6666666666666666	10.0	3.183333333333333	3.0790460266691904			0.0	0.0	1.0	1.0									2.9416745235672064	3.2164175297711743	0.0	1.0	0.0			
pc_calibration	pc_rule_mp_only	MP edge only	batch_effect	20	20	4.0	7.0	4.0	2.6906035699998028	0.050108669734236146	0.05907433950354361					0.6817858876159927	0.866098915903249					-0.02790484313194643	0.12812218260041872	2.5243618997786417	2.856845240220964			0.0	0.7739424017596208		
pc_calibration	pc_rule_mp_tw_permutation	MP + TW + permutation	batch_effect	20	20	4.0	5.95	4.0	2.5536828349970166	0.0047838795718791694	0.01894731390436207					0.7787948915774623	0.8569759748842458					0.0020514484816549967	0.007516310662103343	2.420778568118532	2.686587101875501			0.0	0.817885433230854		
pc_calibration	pc_rule_mp_only	MP edge only	rare_state_power	40	20	2.0	3.425	3.5	2.2197309675018913							0.08860214226533389	0.10587276641443771	0.9815	1.0	1.0	1.0			2.1312396251647545	2.308222309839028			0.0	0.0972374543398858	0.99375	1.0
pc_calibration	pc_rule_mp_tw_permutation	MP + TW + permutation	rare_state_power	40	20	2.0	3.375	3.55	2.222261277500729							0.08551646284579992	0.10197897621290558	0.9581753696208056	1.0	1.0	1.0			2.138123671342608	2.3063988836588503			0.0	0.09374771952935275	0.9801136363636364	1.0
pc_calibration	pc_rule_mp_only	MP edge only	realistic_null	60	20	0.6666666666666666	0.0	1.0	0.13555566333549596			0.0	0.0	0.0	0.0									0.12538480552029543	0.14572652115069648	0.0	0.0	1.0			
pc_calibration	pc_rule_mp_tw_permutation	MP + TW + permutation	realistic_null	60	20	0.6666666666666666	0.0	1.0	0.16886852833243512			0.0	0.0	0.0	0.0									0.1578048309930748	0.17993222567179545	0.0	0.0	1.0			
rare_state_guard	rare_state_guard_off	rare-state guard off	batch_effect	20	20	4.0	6.55	3.0	1.3694954450002115	0.0018812259036895447	0.007966399910353712					0.8262221395274367	0.886982117249481					-0.0016879876856168328	0.005450439492995922	1.2821690204504328	1.4568218695499902			0.0	0.8566021283884588		
rare_state_guard	rare_state_guard_off	rare-state guard off	rare_state_power	40	20	1.975	3.425	2.525	1.2350020275021962							-0.002959724054312592	0.0027045762879231525	0.09317735090374916	0.1319467421898001	0.0	0.0			1.1523195754420186	1.317684479562374			0.025	-0.0001275738831947198	0.11256204654677464	0.0
rare_state_guard	rare_state_guard_off	rare-state guard off	realistic_null	60	20	0.6666666666666666	0.0	1.0	0.13675084833618406			0.0	0.0	0.0	0.0									0.12629787767947648	0.14720381899289164	0.0	0.0	1.0			
reference	default_v3_3	default RMTGuard v3.3	batch_effect	20	20	4.0	6.25	4.0	2.6832095999998273	0.005743498221020136	0.020733622987443644					0.8132813919206655	0.8845174065706175					0.0008232888833517365	0.010663707558688534	2.421767707624211	2.944651492375444			0.0	0.8488993992456415		
reference	default_v3_3	default RMTGuard v3.3	rare_state_power	40	20	1.975	3.2	3.4	2.0983807749995322							0.08698847499948431	0.10643370342108494	0.9216978358147612	1.0	0.9259999999999999	1.0			1.9696666778860354	2.227094872113029			0.025	0.09671108921028462	0.9698369565217391	0.975
reference	default_v3_3	default RMTGuard v3.3	realistic_null	60	20	0.6666666666666666	0.0	1.0	0.13742108333487216			0.0	0.0	0.0	0.0									0.12788681032497842	0.1469553563447659	0.0	0.0	1.0			
