prevalence	effect_size	n_repeats	power	mean_ari	mean_nmi	mean_rare_precision	mean_rare_recall	mean_rare_f1	mean_fixed30_ari	mean_fixed30_rare_f1	mean_signal_pcs	mean_embedding_pcs	rare_state_guard_selection_rate	no_call_rate	power_ci95_low	power_ci95_high	mean_ari_ci95_low	mean_ari_ci95_high	mean_rare_f1_ci95_low	mean_rare_f1_ci95_high	mean_fixed30_rare_f1_ci95_low	mean_fixed30_rare_f1_ci95_high
0.02	2.5	50	0.12	0.006567104756777049	0.02160344420661324	0.13599999999999993	1.0	0.1514285714285714	-0.0011939562090405868	0.05380269847284666	1.12	0.42	0.12	0.88	0.02901076986807724	0.21098923013192275	0.0014816651374268104	0.011652544376127286	0.06368895665850302	0.23916818619863975	0.05095961967560176	0.05664577727009156
0.02	4.0	50	0.52	0.029832487438849763	0.09571322428107944	0.5287272727272727	1.0	0.5371428571428571	0.000540151735348551	0.051572226471700316	1.52	1.58	0.52	0.48	0.3801120448358759	0.6598879551641241	0.02165831130228194	0.038006663575417585	0.4022509003774516	0.6720348139082625	0.04811420772503635	0.05503024521836428
0.02	6.0	50	0.88	0.05079560361793132	0.16402001201225366	0.8821818181818182	1.0	0.8842857142857143	0.003058542492869658	0.060269780462319476	1.88	2.66	0.88	0.12	0.7890107698680773	0.9709892301319227	0.04496006668347386	0.056631140552388805	0.7965460995156457	0.9720253290557825	0.05630735009015671	0.06423221083448225
0.04	2.5	50	0.84	0.1060978510314631	0.2759566306332834	1.0	0.9111111111111111	0.9384615384615383	-0.0007137074314206676	0.102813741348267	2.0	3.4	1.0	0.0	0.7373503044329892	0.9426496955670107	0.09780247093530547	0.11439323112762073	0.8989808863203803	0.9779421906026964	0.0971523825975441	0.10847510009898989
0.04	4.0	50	1.0	0.11751484914764186	0.3024502367435323	1.0	1.0	1.0	0.00318692306919177	0.11405534446077464	2.0	3.3	1.0	0.0	1.0	1.0	0.11258382555899119	0.12244587273629254	1.0	1.0	0.1075978552556308	0.12051283366591849
0.04	6.0	50	1.0	0.11843393976634664	0.3052985675446562	1.0	1.0	1.0	0.013441507753227482	0.13789871550994162	2.0	3.44	1.0	0.0	1.0	1.0	0.11307116096018874	0.12379671857250457	1.0	1.0	0.12944752619391092	0.14634990482597232
0.08	2.5	50	0.98	0.1976155725692872	0.42042884611003367	0.9833644859813084	1.0	0.98576	0.01729866238006456	0.2102328243438415	2.0	3.3	0.98	0.0	0.9408	1.0	0.18530735589696493	0.20992378924160945	0.9578496	1.0	0.17734220388754396	0.2431234448001391
0.08	4.0	50	0.98	0.19812458071019795	0.4195441031716232	0.9827777777777778	0.9966666666666667	0.9847619047619048	0.23157702653762408	0.3852559280309153	2.0	3.64	0.98	0.0	0.9408	1.0	0.1859618350397747	0.2102873263806211	0.9548952380952381	1.0	0.2931779111817142	0.4773339448801165
0.08	6.0	50	0.98	0.20218060927633347	0.42455804348978105	0.9896296296296296	0.9944444444444445	0.9915555555555555	0.4268701285979294	0.5627512985769312	2.0	3.4	0.98	0.0	0.9408	1.0	0.19197511856539295	0.21238609998727398	0.9750044444444445	1.0	0.4622678258084514	0.663234771345411
